#x1 y1 z1 m1 x2 y2 z2 m2 nx ny nz disp1 disp2
          46
 166.645 211.140  40.822  1.1300e+12 166.982 210.795  41.075  6.6559e+11  -0.267  -0.390  -0.175   0.073   0.078
 171.384  90.421  63.921  1.7493e+11 171.244  90.792  64.110  9.6911e+11  -0.330  -0.086  -0.076   0.182   0.225
 186.632 205.816  24.240  1.5068e+12 186.734 205.907  24.704  5.8388e+11   0.090  -0.180   0.015   0.142   0.114
 189.161  83.552 245.071  7.7805e+11 189.080  83.083 245.402  9.7738e+11  -0.137   0.106   0.117   0.021   0.031
 192.453  45.374 140.872  9.5204e+11 192.042  45.323 141.143  5.0962e+11   0.074   0.049   0.120   0.162   0.175
 194.943 175.837 234.546  2.0501e+11 195.256 175.664 234.299  1.3175e+12  -0.229   0.143  -0.391   0.232   0.166
 223.098  99.585  15.837  3.1951e+11 222.888  99.679  16.103  8.9472e+11  -0.066  -0.094  -0.019   0.227   0.352
 224.430 151.569  65.056  7.6518e+11 224.523 151.279  65.289  3.6152e+11   0.071   0.069   0.057   0.247   0.128
 228.486 181.141  47.556  1.0493e+12 228.490 180.872  47.722  1.0301e+12   0.028  -0.070  -0.115   0.230   0.166
 240.232  79.031 143.085  2.8604e+11 240.531  78.919 143.360  1.3207e+12   0.122  -0.030  -0.145   0.293   0.268
