# lambda_1A lambda_2A lambda_3A eigen1_xA eigen1_yA eigen1_zA eigen2_xA eigen2_yA eigen2_zA eigen3_xA eigen3_yA eigen3_zA lambda_1B lambda_2B lambda_3B eigen1_xB eigen1_yB eigen1_zB eigen2_xB eigen2_yB eigen2_zB eigen3_xB eigen3_yB eigen3_zB 
# 120
0.767131 0.633634 -0.099852 0.447448 0.865124 0.226606 0.161728 -0.327485 0.930912 -0.879565 0.379886 0.286448 1.011675 0.625608 -0.342054 0.558164 0.806051 0.196810 0.125502 -0.316485 0.940259 -0.820184 0.500119 0.277812 
0.927060 0.368817 0.199211 -0.327377 -0.192664 0.925043 -0.038173 0.980889 0.190786 0.944122 -0.027148 0.328475 0.927060 0.368817 0.199211 -0.327377 -0.192664 0.925043 -0.038173 0.980889 0.190786 0.944122 -0.027148 0.328475 
0.539680 0.340625 0.078625 -0.702184 0.680934 0.208007 0.083072 -0.211798 0.973777 0.707133 0.701050 0.092155 0.539680 0.340625 0.078625 -0.702184 0.680934 0.208007 0.083072 -0.211798 0.973777 0.707133 0.701050 0.092155 
0.602586 0.367928 0.013682 -0.739068 0.097792 0.666494 0.417024 0.843438 0.338679 0.529026 -0.528251 0.664140 0.685199 0.458332 0.109206 -0.645136 0.379170 0.663347 0.544285 0.837367 0.050703 0.536240 -0.393761 0.746592 
0.650991 0.052705 -0.233217 0.065953 0.186433 0.980251 0.093443 -0.979227 0.179951 -0.993438 -0.079729 0.082004 0.650991 0.052705 -0.233217 0.065953 0.186433 0.980251 0.093443 -0.979227 0.179951 -0.993438 -0.079729 0.082004 
0.969223 0.753579 0.432463 -0.301348 -0.502578 0.810312 0.612607 0.549175 0.568437 -0.730687 0.667699 0.142390 0.969223 0.753579 0.432463 -0.301348 -0.502578 0.810312 0.612607 0.549175 0.568437 -0.730687 0.667699 0.142390 
0.430963 0.243732 -0.028491 0.480181 0.525582 0.702275 0.720144 -0.693319 0.026481 -0.500818 -0.493024 0.711413 0.524673 0.404061 0.214337 0.340893 0.524492 0.780192 0.794386 -0.604512 0.059294 -0.502735 -0.599561 0.622723 
0.469277 0.244298 -0.135330 -0.356357 -0.888194 0.290036 0.659288 -0.019068 0.751649 -0.662080 0.459073 0.592370 0.514532 0.273519 -0.068524 -0.325109 -0.865911 0.380135 0.635174 0.097860 0.766145 -0.700613 0.490532 0.518189 
1.394216 1.068623 -0.044829 -0.125423 -0.956950 0.261757 -0.914091 0.214019 0.344432 0.385625 0.196070 0.901582 1.394216 1.068623 -0.044829 -0.125423 -0.956950 0.261757 -0.914091 0.214019 0.344432 0.385625 0.196070 0.901582 
0.803063 0.692757 0.171406 -0.184861 -0.841816 0.507122 -0.426702 0.533592 0.730209 0.885298 0.081403 0.457845 0.803063 0.692757 0.171406 -0.184861 -0.841816 0.507122 -0.426702 0.533592 0.730209 0.885298 0.081403 0.457845 
