#x1 y1 z1 m1 x2 y2 z2 m2 nx ny nz disp1 disp2 sigmah ecc
#         206
  87.423 111.674 150.022  1.1842e+12  87.246 111.312 150.169  2.1802e+11   0.405   0.040   0.585   0.064   0.099   49.3  0.755
  88.828 232.733 236.987  4.0325e+11  88.507 233.113 236.970  1.3408e+12  -0.339  -0.297  -0.234   0.022   0.012   50.3  0.837
  90.763  75.943 130.244  1.9973e+11  90.404  76.060 130.663  1.6741e+12   0.097   0.012   0.080   0.000   0.000   49.3  0.983
  91.045  54.914 197.100  8.6139e+11  91.280  54.747 197.287  1.8117e+12   0.201  -0.060  -0.305   0.161   0.094   50.9  0.933
  91.280  54.747 197.287  1.8117e+12  91.045  54.914 197.100  8.6139e+11   0.201  -0.060  -0.305   0.140   0.223   46.7  0.973
  91.919  16.028 121.398  1.3862e+11  91.727  16.321 121.627  1.8985e+12   0.208  -0.002   0.177   0.196   0.135   34.4  0.757
  92.381 159.782  23.944  2.4404e+11  92.687 159.522  24.165  1.3431e+12   0.038  -0.070  -0.136   0.158   0.144   37.8  0.948
  92.767 198.191  16.981  3.0474e+11  92.797 197.674  17.094  1.4091e+12   0.299   0.032   0.065   0.000   0.000   47.3  0.909
  93.211 126.908   9.132  2.5946e+12  93.260 126.967   9.500  9.5244e+11   0.097  -0.174   0.015   0.123   0.186    0.0  0.884
  94.440  27.581 172.011  1.1518e+11  94.614  27.868 172.169  1.1278e+12  -0.157   0.141  -0.082   0.167   0.140   31.5  0.945
  95.825  98.837  44.411  1.9687e+12  95.974  98.653  44.827  6.2751e+11  -0.252   0.101   0.135   0.078   0.086   59.9  0.999
  95.826 224.672 161.475  1.3356e+12  95.561 225.020 161.567  3.8347e+11   0.182   0.007   0.494   0.041   0.045   59.1  0.877
  96.825  77.675  98.908  1.3266e+11  97.081  77.441  99.028  2.2859e+12   0.010   0.062   0.101   0.176   0.157   60.6  0.968
 102.230  29.471 112.239  5.1735e+11 102.457  29.773 112.182  1.9056e+12  -0.019  -0.041  -0.291   0.292   0.254   41.9  0.963
 102.258 180.787  61.286  2.1640e+11 102.622 180.440  61.547  2.2190e+12  -0.143  -0.119   0.042   0.068   0.076   43.5  0.875
 102.600 165.245  36.983  1.3523e+11 103.051 165.256  36.939  6.6789e+11   0.024   0.106   0.268   0.465   0.546   65.9  0.974
 103.965  45.127 178.223  1.6098e+11 103.978  45.369 178.346  2.5424e+12  -0.073  -0.144   0.292   0.334   0.156   60.7  0.895
 105.462  95.443 168.095  9.9323e+10 105.844  95.496 167.716  2.1699e+12   0.222   0.247   0.259   0.076   0.049   40.1  0.819
 105.844  95.496 167.716  2.1699e+12 105.462  95.443 168.095  9.9323e+10   0.222   0.247   0.259   0.026   0.039   42.6  0.867
 106.452 105.751 150.135  7.9851e+11 106.199 105.809 149.920  2.3591e+11   0.280  -0.110  -0.359   0.363   0.381   47.5  0.883
 106.741  86.584 220.292  1.1703e+12 106.697  86.527 219.884  1.7571e+12   0.125   0.081  -0.025   0.109   0.153   68.0  0.971
 109.521  93.619  89.258  1.6453e+12 109.942  93.497  89.283  8.8889e+11   0.079   0.211  -0.294   0.084   0.076   58.6  0.823
 109.942  93.497  89.283  8.8889e+11 109.521  93.619  89.258  1.6453e+12   0.079   0.211  -0.294   0.091   0.095   55.5  0.870
 110.476 153.789 157.948  1.3629e+12 110.446 153.937 158.391  2.3252e+11   0.159  -0.016   0.016   0.099   0.169   48.3  0.950
 111.120  74.548 239.174  3.5867e+11 111.281  74.961 239.099  1.4408e+12  -0.149   0.117   0.324   0.060   0.048   56.1  0.865
 111.469 209.406 233.486  6.9092e+11 111.673 209.693 233.724  5.5027e+11   0.017   0.003  -0.018   0.228   0.222   59.3  0.903
 111.713 222.653  68.158  8.1166e+11 112.103 222.579  68.372  2.9810e+11   0.185   0.109  -0.298   0.000   0.000    0.0  0.922
 113.965  69.757   5.409  5.7155e+11 114.162  69.997   5.104  1.2855e+12  -0.017   0.318   0.239   0.094   0.081   59.5  0.880
 114.131  23.409 109.501  1.9127e+12 113.800  23.397 109.883  1.3951e+12   0.153   0.092   0.135   0.055   0.035   57.0  0.973
 114.891 140.681 186.524  2.0122e+11 114.928 140.785 186.990  8.0339e+11   0.456   0.441  -0.135   0.013   0.017   36.0  0.858
 115.732 104.626 191.428  3.1653e+11 116.199 104.715 191.575  1.2921e+12  -0.077   0.628  -0.139   0.182   0.148   48.5  0.892
 116.888 181.174  30.878  2.1382e+11 117.058 181.521  30.972  5.4960e+11   0.355  -0.129  -0.163   0.231   0.301   59.7  0.988
 117.058 181.521  30.972  5.4960e+11 116.888 181.174  30.878  2.1382e+11   0.355  -0.129  -0.163   0.279   0.213   61.9  1.126
 118.306  17.111 128.430  1.1667e+11 118.194  17.253 128.739  1.1155e+12   0.295   0.291  -0.026   0.102   0.044   36.4  0.966
 118.906  23.312 157.596  1.5972e+12 118.970  23.193 158.114  2.3459e+12   0.334   0.261   0.018   0.334   0.309   53.7  0.828
 119.901  22.731 161.691  1.4688e+12 120.053  22.843 162.146  7.9635e+11   0.323   0.109  -0.135   0.000   0.000   53.0  0.878
 121.482 226.990 146.280  1.0976e+11 121.391 227.219 146.749  4.1287e+11  -0.376   0.012  -0.079   0.223   0.178   60.5  1.955
 122.229 237.536 139.989  7.1735e+11 122.307 237.205 140.254  5.3090e+11  -0.253   0.079   0.173   0.042   0.038    0.0  0.993
 122.654 152.048  59.477  1.0976e+12 122.588 151.732  59.790  1.6814e+12   0.037  -0.227  -0.221   0.480   0.409   48.7  0.860
