# eigen3_x eigen3_y eigen3_z x1 y1 z1 x2 y2 z2 nx ny nz
0.467669 0.249555 0.847943 19.106000 69.006000 66.792000 19.127000 69.454000 66.952000 0.400000 0.077000 -0.267000
-0.903298 0.080409 0.421412 19.342000 126.098000 93.718000 18.518000 126.108000 94.050000 0.014000 -0.129000 0.038000
-0.828101 -0.486249 0.278945 19.536000 112.560000 47.379000 19.804000 112.865000 47.159000 0.256000 -0.589000 -0.505000
-0.300792 -0.551954 0.777735 19.602000 80.404000 156.582000 19.525000 81.622000 154.840000 0.012000 -0.080000 -0.057000
-0.786912 -0.548923 0.281874 19.962000 166.410000 130.134000 20.304000 166.670000 129.950000 -0.291000 0.369000 -0.017000
0.082608 -0.629093 0.772928 20.084000 157.830000 147.083000 20.234000 157.556000 147.568000 -0.124000 0.044000 0.063000
0.432947 0.166488 0.885911 20.910000 119.155000 16.674000 20.706000 119.076000 16.349000 -0.369000 -0.779000 0.421000
0.520769 -0.625107 0.581413 20.950000 203.905000 180.062000 20.528000 203.971000 180.114000 -0.099000 -0.357000 -0.349000
-0.724327 -0.688662 0.033098 21.199000 49.372000 151.052000 21.583000 49.458000 151.124000 -0.144000 0.223000 0.503000
0.369357 -0.911620 0.180345 21.219000 101.573000 27.554000 21.368000 101.373000 27.801000 -0.376000 -0.129000 0.122000
-0.927837 -0.166706 0.333659 21.303000 198.309000 241.469000 21.799000 198.397000 241.233000 0.007000 -0.010000 0.010000
0.340192 0.939065 0.049263 21.306000 239.796000 132.206000 21.433000 240.370000 132.354000 0.415000 -0.163000 0.277000
0.595426 0.774874 0.212219 21.497000 205.091000 246.247000 21.263000 204.721000 246.171000 0.397000 -0.136000 -0.559000
-0.867441 0.170202 0.467523 21.855000 12.613000 126.096000 22.174000 12.306000 125.859000 0.099000 -0.076000 0.231000
0.299880 0.759768 0.576909 21.891000 150.310000 61.019000 22.012000 150.215000 61.076000 0.592000 0.304000 -0.744000
-0.846927 0.309946 0.432029 22.174000 12.306000 125.859000 21.855000 12.613000 126.096000 0.099000 -0.076000 0.231000
0.407291 -0.308436 0.859640 22.266000 194.550000 23.899000 21.982000 194.651000 23.218000 -0.702000 0.045000 0.299000
-0.306464 0.772581 0.556056 23.428000 38.755000 9.327000 23.159000 38.817000 9.468000 0.131000 -0.134000 0.307000
-0.180297 0.957393 0.225590 24.274000 98.533000 49.818000 24.359000 98.716000 50.091000 -0.574000 -0.154000 0.283000
0.346907 -0.129750 0.928881 24.657000 20.504000 239.744000 25.048000 21.284000 241.551000 0.846000 0.110000 -0.231000
-0.469158 -0.307044 0.828018 24.744000 192.053000 241.010000 24.983000 192.189000 240.437000 -0.392000 0.401000 -0.068000
0.516503 0.253008 0.818054 25.125000 169.709000 80.443000 25.363000 170.001000 80.932000 0.281000 0.114000 -0.204000
-0.897603 -0.439408 0.035067 25.149000 248.340000 46.786000 25.495000 248.201000 46.789000 0.006000 0.019000 0.161000
0.534280 -0.702437 0.470242 25.327000 178.435000 217.464000 25.332000 178.379000 217.454000 -0.358000 -0.075000 0.241000
0.534280 -0.702437 0.470242 25.332000 178.379000 217.454000 25.327000 178.435000 217.464000 -0.358000 -0.075000 0.241000
-0.584903 0.065495 0.808454 25.365000 119.744000 245.937000 25.817000 119.703000 245.210000 -0.463000 0.113000 -0.294000
-0.314328 0.751885 0.579541 25.406000 233.010000 131.396000 25.312000 233.316000 131.626000 -0.434000 -0.293000 0.212000
0.574537 0.630238 0.522214 25.538000 155.677000 95.854000 25.608000 156.126000 96.548000 -0.433000 0.547000 -0.310000
0.922360 0.246849 0.297183 25.745000 24.926000 107.305000 25.940000 25.158000 107.598000 0.066000 -0.376000 0.253000
-0.470661 0.009454 0.882264 25.817000 119.703000 245.210000 25.365000 119.744000 245.937000 -0.463000 0.113000 -0.294000
0.928579 0.242674 0.280804 25.940000 25.158000 107.598000 25.745000 24.926000 107.305000 0.066000 -0.376000 0.253000
0.527308 -0.432682 0.731254 26.110000 224.088000 11.629000 26.217000 223.734000 11.744000 0.595000 0.048000 -0.409000
-0.570253 0.728811 0.379008 26.364000 69.097000 193.387000 26.423000 68.744000 193.389000 -0.598000 -0.102000 -0.777000
0.761619 0.274643 0.586949 26.406000 226.388000 53.905000 26.584000 226.674000 54.524000 -0.033000 -0.299000 0.148000
-0.188011 0.809445 0.556283 26.494000 68.976000 193.269000 26.423000 68.744000 193.389000 -0.740000 0.017000 -0.410000
0.128506 0.491353 0.861428 26.558000 178.472000 28.226000 26.556000 178.790000 28.840000 -0.429000 0.530000 -0.275000
0.692901 0.655836 0.299613 26.755000 44.485000 188.632000 27.028000 44.784000 188.765000 -0.166000 0.513000 -0.817000
0.362933 -0.404272 0.839550 26.901000 11.498000 226.812000 27.278000 11.563000 226.899000 0.131000 -0.391000 -0.274000
-0.788774 0.232211 0.569134 27.052000 235.870000 197.610000 27.298000 235.820000 197.315000 0.194000 0.769000 0.033000
-0.558606 -0.591951 0.580993 27.203000 63.148000 124.702000 27.765000 63.188000 124.400000 0.197000 0.252000 0.399000
0.362933 -0.404272 0.839550 27.278000 11.563000 226.899000 26.901000 11.498000 226.812000 0.131000 -0.391000 -0.274000
-0.788774 0.232211 0.569134 27.298000 235.820000 197.315000 27.052000 235.870000 197.610000 0.194000 0.769000 0.033000
-0.772988 0.617068 0.147366 27.505000 67.779000 193.184000 26.423000 68.744000 193.389000 0.267000 0.358000 -0.277000
-0.874857 0.484154 0.014863 27.568000 46.174000 30.206000 27.854000 46.088000 30.109000 -0.051000 -0.116000 -0.047000
0.517786 -0.006778 0.855483 27.848000 212.956000 184.189000 28.119000 213.057000 184.591000 -0.601000 -0.182000 0.451000
-0.874857 0.484154 0.014863 27.854000 46.088000 30.109000 27.568000 46.174000 30.206000 -0.051000 -0.116000 -0.047000
-0.419518 0.101584 0.902045 28.038000 182.721000 121.913000 27.890000 182.917000 122.424000 -0.402000 0.432000 -0.282000
0.704654 0.665978 0.244817 29.415000 167.742000 96.173000 28.767000 167.337000 96.186000 0.306000 -0.467000 0.655000
0.373279 -0.926333 0.050690 29.459000 215.200000 92.148000 29.588000 214.960000 92.421000 -0.273000 -0.093000 0.047000
0.373279 -0.926333 0.050690 29.588000 214.960000 92.421000 29.459000 215.200000 92.148000 -0.273000 -0.093000 0.047000
-0.257356 0.436980 0.861868 30.034000 210.435000 137.535000 30.044000 210.703000 137.906000 0.650000 -0.507000 0.348000
-0.654547 -0.509542 0.558511 30.173000 47.035000 194.569000 30.476000 47.157000 194.463000 -0.123000 0.548000 0.276000
0.437524 -0.553885 0.708367 30.207000 234.318000 23.538000 30.354000 234.025000 23.632000 0.629000 0.221000 -0.295000
0.866055 0.183395 0.465097 30.658000 23.987000 94.471000 31.063000 24.117000 94.691000 0.370000 -0.286000 -0.512000
