#x1 y1 z1 m1 x2 y2 z2 m2 nx ny nz disp1 disp2
#        5520
   4.199  36.880 179.161  6.1721e+11   3.977  36.773 178.819  9.2196e+11   0.213  -0.532   0.027   0.000   0.000
   4.200 210.798   6.436  2.4580e+11   4.605 210.948   6.537  2.0172e+12  -0.372   0.503   0.743   0.086   0.073
   4.268 236.911 146.681  5.5298e+11   4.570 236.876 146.712  1.3692e+12   0.042   0.217  -0.169   0.249   0.190
   4.399 223.118  20.412  1.3278e+12   4.302 223.483  20.564  1.1041e+12  -0.296  -0.092   0.032   0.195   0.210
   4.415 179.805  66.337  1.6832e+12   4.941 180.219  66.746  1.3843e+12   0.150  -0.103  -0.088   0.041   0.027
   4.475 194.704  94.972  2.4079e+12   4.091 194.735  94.896  2.7981e+11   0.012  -0.736  -0.370   0.096   0.086
   4.520 133.545  48.958  2.6342e+11   4.957 133.508  48.400  1.7782e+12  -0.384  -0.316  -0.280   0.393   0.335
   4.528 201.719  17.533  1.0556e+11   4.697 201.786  17.850  3.0759e+11   0.608  -0.597  -0.198   0.166   0.155
   4.534  12.710  46.869  3.6359e+12   4.534  12.710  46.869  3.6359e+12    -NaN    -NaN    -NaN   0.432   0.129
   4.564 165.874  47.503  1.6179e+11   4.793 166.042  47.783  1.5623e+11  -0.113  -0.131   0.171   0.314   0.286
   4.570 236.876 146.712  1.3692e+12   4.268 236.911 146.681  5.5298e+11   0.042   0.217  -0.169   0.205   0.267
   4.678 114.211  86.541  6.7466e+11   4.240 113.968  86.697  9.4716e+10  -0.008  -0.114  -0.201   0.084   0.101
   4.703 231.532  19.289  1.8686e+11   5.022 231.541  19.183  7.1733e+12   0.130   0.017   0.395   0.254   0.147
   4.846 217.485  54.373  2.5483e+12   4.492 217.421  54.249  1.3970e+11   0.005  -0.821   0.411   0.079   0.076
   4.914 225.366 152.052  2.8686e+11   4.755 225.270 151.547  1.3352e+12   0.341  -0.657   0.018   0.255   0.299
   4.941 180.219  66.746  1.3843e+12   4.415 179.805  66.337  1.6832e+12   0.150  -0.103  -0.088   0.081   0.121
   4.957 133.508  48.400  1.7782e+12   4.520 133.545  48.958  2.6342e+11  -0.384  -0.316  -0.280   0.297   0.348
   5.022 231.541  19.183  7.1733e+12   4.703 231.532  19.289  1.8686e+11   0.130   0.017   0.395   0.075   0.132
   5.107 126.738 196.160  5.1626e+10   4.818 126.726 196.406  2.9946e+10  -0.446  -0.375  -0.544   0.053   0.033
   5.139 182.587 215.900  4.8510e+10   5.114 183.011 216.120  4.4296e+11  -0.085   0.031  -0.070   0.076   0.075
   5.239 175.917 248.379  1.2371e+11   5.069 175.755 248.354  2.4304e+12   0.449  -0.424  -0.310   0.287   0.259
   5.245 146.939 163.709  2.6301e+11   4.921 147.212 163.636  1.2626e+12  -0.367  -0.478  -0.155   0.527   0.423
   5.310 219.775 157.155  1.9377e+11   5.399 220.038 157.016  4.1504e+11  -0.102   0.087   0.101   0.465   0.472
   5.360 228.461 237.824  4.6179e+11   5.112 228.467 237.960  7.7304e+11  -0.257  -0.158  -0.459   0.118   0.054
   5.366 173.118 110.039  4.5805e+12   4.757 172.910 110.154  2.3340e+13  -0.015  -0.252  -0.539   0.074   0.071
   5.426  80.412 119.300  2.7458e+12   5.993  79.931 119.501  1.9515e+12   0.151   0.158  -0.048   0.077   0.055
   5.549 114.436  72.959  1.3496e+11   5.467 114.051  73.037  1.0081e+11  -0.119  -0.057  -0.406   0.133   0.138
