# lambda_1A lambda_2A lambda_3A eigen1_xA eigen1_yA eigen1_zA# lambda_1B lambda_2B lambda_3B eigen1_xB eigen1_yB eigen1_zB
# 122
0.499632 0.120508 0.031241 0.143860 -0.796929 0.586692 0.499632 0.120508 0.031241 0.143860 -0.796929 0.586692 
0.911600 0.598568 0.103086 -0.764445 0.609114 0.211197 0.750390 0.404259 0.062573 -0.782025 0.603015 0.157512 
0.763673 0.508213 0.142421 -0.909034 0.269590 0.317770 0.832556 0.572571 0.138552 -0.869404 0.317349 0.378716 
0.958299 0.595358 0.127549 -0.832454 0.478542 0.279316 1.008840 0.703710 0.203236 -0.849585 0.496738 0.177359 
0.795896 0.581878 -0.068185 -0.812627 -0.389654 0.433367 0.795896 0.581878 -0.068185 -0.812627 -0.389654 0.433367 
0.937502 0.700359 -0.155431 -0.789817 0.612266 0.036331 0.937502 0.700359 -0.155431 -0.789817 0.612266 0.036331 
0.729974 0.628112 0.360086 -0.991668 0.054034 0.116936 0.789220 0.514681 0.469545 -0.988800 0.031642 0.145854 
0.702083 0.446507 0.093205 -0.553654 0.410189 0.724715 0.717080 0.376022 0.074550 -0.539854 0.336271 0.771673 
0.980397 0.551390 -0.194766 -0.643980 0.092107 0.759477 0.825992 0.357256 -0.313956 -0.461231 0.019222 0.887072 
0.605580 0.475931 0.069807 -0.474390 -0.246708 0.845038 0.588205 0.517294 0.093683 -0.429678 -0.233802 0.872189 
0.588205 0.517294 0.093683 -0.429678 -0.233802 0.872189 0.605580 0.475931 0.069807 -0.474390 -0.246708 0.845038 
0.348944 0.119604 -0.008230 0.495859 0.789174 0.362393 0.414279 0.206093 0.041566 0.704373 0.606944 0.368072 
0.704312 0.589710 0.385343 -0.850109 -0.412724 0.327068 0.704312 0.589710 0.385343 -0.850109 -0.412724 0.327068 
0.215182 0.141508 0.005653 -0.781859 0.475442 0.403301 0.215182 0.141508 0.005653 -0.781859 0.475442 0.403301 
0.582025 0.257806 0.139950 -0.407536 0.750609 0.520097 0.582025 0.257806 0.139950 -0.407536 0.750609 0.520097 
0.767348 0.457487 0.067244 0.225188 -0.522562 0.822326 0.767348 0.457487 0.067244 0.225188 -0.522562 0.822326 
0.145432 0.023645 -0.099505 -0.431031 0.229206 0.872741 0.161370 0.016616 -0.097549 -0.275010 0.228593 0.933871 
0.709642 0.360602 0.015004 -0.360581 0.917317 0.168848 0.709642 0.360602 0.015004 -0.360581 0.917317 0.168848 
0.201576 -0.032527 -0.128928 -0.895334 -0.281472 0.345182 0.201576 -0.032527 -0.128928 -0.895334 -0.281472 0.345182 
0.623257 0.206094 -0.088533 -0.784422 -0.202118 0.586371 0.560288 0.080999 -0.101307 -0.832094 -0.057864 0.551607 
0.923487 0.702108 0.502699 0.155720 -0.201415 0.967049 0.991682 0.769742 0.654430 0.075864 -0.452842 0.888357 
0.696674 0.302139 -0.140614 0.135274 -0.657968 0.740796 0.687946 0.295572 -0.039340 -0.089756 -0.689716 0.718495 
0.494019 0.221097 -0.045677 -0.928125 -0.192437 0.318672 0.494019 0.221097 -0.045677 -0.928125 -0.192437 0.318672 
0.557922 0.176840 -0.210546 -0.106890 -0.100901 0.989138 0.596491 0.206360 -0.249572 -0.147165 -0.117958 0.982053 
0.596491 0.206360 -0.249572 -0.147165 -0.117958 0.982053 0.557922 0.176840 -0.210546 -0.106890 -0.100901 0.989138 
0.861116 0.443907 -0.146691 -0.088817 0.960941 0.262116 0.861116 0.443907 -0.146691 -0.088817 0.960941 0.262116 
0.201611 0.031224 -0.060936 -0.111834 -0.815385 0.568015 0.132161 -0.010138 -0.094241 -0.027884 -0.791178 0.610951 
0.980857 0.279697 0.020595 -0.540530 0.302602 0.785022 1.190881 0.359960 0.037462 -0.597843 0.306740 0.740604 
0.702690 0.410083 0.139119 -0.601120 0.271266 0.751711 0.702690 0.410083 0.139119 -0.601120 0.271266 0.751711 
1.176085 0.852323 0.195371 -0.295545 0.166173 0.940765 1.176085 0.852323 0.195371 -0.295545 0.166173 0.940765 
0.869317 0.456760 0.208458 -0.166252 0.976917 0.134140 0.948924 0.513527 0.412708 0.182269 -0.981848 0.052460 
0.539665 0.297721 0.056461 -0.358114 -0.807112 0.469387 0.476737 0.321946 0.069846 -0.381479 -0.802729 0.458366 
0.510317 0.333267 0.000056 -0.619552 -0.620278 0.481052 0.596853 0.359593 0.072879 -0.452298 -0.736478 0.503018 
0.471937 0.016680 -0.129824 -0.693282 -0.053512 0.718677 0.471937 0.016680 -0.129824 -0.693282 -0.053512 0.718677 
0.593792 0.346591 -0.095536 -0.168636 0.973298 0.155735 0.578598 0.292561 -0.088220 0.076435 -0.996947 0.015934 
0.329879 0.182183 -0.135527 0.189770 -0.223597 0.956029 0.368123 0.255831 -0.108506 0.066881 -0.610218 0.789405 
0.767003 0.289578 -0.242994 0.601891 0.497918 0.624344 0.801878 0.341283 -0.269373 0.592399 0.507217 0.625935 
0.980031 0.434232 -0.109442 -0.845019 -0.321137 0.427568 0.980031 0.434232 -0.109442 -0.845019 -0.321137 0.427568 
0.524978 0.067898 0.016091 0.562616 -0.794007 0.230251 0.524978 0.067898 0.016091 0.562616 -0.794007 0.230251 
0.804618 0.546311 -0.313127 0.218656 -0.945307 0.242041 0.713213 0.456137 -0.225927 0.162614 -0.930543 0.328095 
0.608443 0.345112 -0.060121 -0.767649 -0.202151 0.608153 0.747396 0.271109 0.052691 -0.579520 -0.275045 0.767142 
0.694485 0.115731 -0.186854 0.969670 0.229860 0.083090 0.877800 0.476651 -0.004167 0.999342 0.000288 0.036260 
0.916226 0.593126 0.117470 -0.978115 -0.205130 0.034821 0.873580 0.490925 0.118014 -0.982671 -0.125270 0.136616 
1.303606 0.216175 0.027293 -0.818513 -0.266847 0.508752 1.303606 0.216175 0.027293 -0.818513 -0.266847 0.508752 
