# lambda_1A lambda_2A lambda_3A eigen1_xA eigen1_yA eigen1_zA eigen3_xA eigen3_yA eigen3_zA# lambda_1B lambda_2B lambda_3B eigen1_xB eigen1_yB eigen1_zB eigen3_xB eigen3_yB eigen3_zB 
# 122
2.548391 2.166877 1.185581 -0.755987 0.142333 0.638924 0.471745 0.795150 0.381042 1.582967 0.955269 0.332776 -0.677796 0.090333 0.729680 0.678080 0.460481 0.572858 
2.086981 2.024734 0.977596 -0.106076 -0.602710 0.790878 0.588837 0.602837 0.538385 1.801468 1.736234 0.499177 0.447141 -0.888357 0.104335 0.757356 0.438078 0.484251 
1.801468 1.736234 0.499177 0.447141 -0.888357 0.104335 0.757356 0.438078 0.484251 2.086981 2.024734 0.977596 -0.106076 -0.602710 0.790878 0.588837 0.602837 0.538385 
1.032198 0.988107 0.549744 0.482619 0.875818 0.004527 -0.813707 0.446469 0.372218 1.370947 1.169702 1.113325 -0.996133 0.082747 0.029531 0.032692 0.037100 0.998777 
2.521748 2.283852 1.732216 -0.764193 -0.216257 0.607653 0.196305 0.819437 0.538504 2.521748 2.283852 1.732216 -0.764193 -0.216257 0.607653 0.196305 0.819437 0.538504 
0.999828 0.721967 0.652532 -0.776347 0.422686 0.467570 0.525084 0.023354 0.850730 0.831086 0.604820 0.368088 -0.898806 0.370753 0.233859 0.223990 -0.070134 0.972065 
1.801039 1.223580 0.809161 -0.512746 0.682819 0.520433 0.843148 0.514760 0.155318 1.618611 1.241509 0.827043 -0.374381 0.689585 0.619929 0.921940 0.348424 0.169195 
1.944197 1.694617 1.178744 0.158310 -0.384645 0.909388 0.400663 0.866794 0.296880 1.979761 1.527576 1.135719 -0.158291 -0.354626 0.921512 0.159475 0.911843 0.378299 
0.621779 0.552134 0.262409 -0.741111 0.429129 0.516336 0.605936 0.758718 0.239142 0.548063 0.451565 0.171255 -0.403292 0.094802 0.910147 0.686047 0.689519 0.232170 
2.090248 1.667668 1.232978 -0.460794 0.880195 0.113693 0.768789 0.331862 0.546654 2.090248 1.667668 1.232978 -0.460794 0.880195 0.113693 0.768789 0.331862 0.546654 
0.551993 0.433813 0.380167 -0.635382 -0.437434 0.636350 0.723387 -0.625518 0.292298 0.521496 0.399083 0.358357 -0.534525 -0.322789 0.781082 0.576842 0.536112 0.616309 
1.912853 1.371891 0.997126 -0.720324 -0.116663 0.683756 0.662114 0.178151 0.727920 1.507252 1.011119 0.729523 -0.807229 0.083652 0.584281 0.489990 -0.456930 0.742378 
2.859476 2.334111 1.841721 0.280537 -0.459957 0.842460 -0.048255 0.869837 0.490973 3.248086 2.772677 2.024194 0.059862 -0.696375 0.715178 -0.911571 0.253815 0.323443 
1.638470 1.246794 0.373291 -0.266254 -0.651065 0.710790 0.001063 0.737210 0.675663 1.940501 1.530562 0.866228 -0.188485 -0.751271 0.632507 0.267552 0.580407 0.769119 
1.062674 0.647158 0.526101 -0.973706 -0.046376 0.223037 0.208142 -0.579047 0.788278 1.216227 0.863874 0.786833 -0.884617 0.087114 0.458110 0.231718 -0.770409 0.593951 
1.465755 1.010288 0.456448 -0.213082 -0.288769 0.933385 0.951018 -0.280292 0.130391 1.575255 1.046305 0.660740 -0.254196 -0.259866 0.931587 0.957029 -0.206592 0.203509 
1.575255 1.046305 0.660740 -0.254196 -0.259866 0.931587 0.957029 -0.206592 0.203509 1.465755 1.010288 0.456448 -0.213082 -0.288769 0.933385 0.951018 -0.280292 0.130391 
1.706396 1.150444 0.778232 -0.234853 0.934854 0.266256 0.874713 0.083792 0.477344 1.706396 1.150444 0.778232 -0.234853 0.934854 0.266256 0.874713 0.083792 0.477344 
0.591559 0.398557 0.251787 0.232071 -0.831882 0.504099 0.645390 0.519427 0.560060 0.434058 0.239648 0.026936 0.039931 -0.645514 0.762704 -0.179411 0.746275 0.641003 
2.655363 2.128734 1.183972 -0.353860 0.035748 0.934615 0.871150 0.376292 0.315439 3.460101 2.700012 1.910885 -0.649685 0.173315 0.740184 0.658873 0.614059 0.434532 
2.554186 1.971686 1.614788 -0.771496 0.253081 0.583733 -0.311006 -0.950407 0.001010 2.554186 1.971686 1.614788 -0.771496 0.253081 0.583733 -0.311006 -0.950407 0.001010 
3.608285 3.098802 1.640619 -0.742139 0.217371 0.634019 0.335730 0.939282 0.070954 3.893961 3.444901 2.138021 -0.703765 0.208438 0.679168 0.442257 0.876703 0.189212 
2.688827 2.140324 1.539403 0.566348 -0.820928 0.072980 -0.823553 -0.560289 0.088522 3.017578 2.199183 1.519027 0.406831 -0.890365 0.204302 0.885163 0.439499 0.152731 
2.165660 1.891930 1.119117 0.220574 -0.942548 0.250898 0.442082 0.325905 0.835673 2.094632 1.894492 1.021307 0.401923 -0.911573 0.086564 0.453841 0.280423 0.845808 
1.422625 0.989355 0.608078 -0.894219 0.134222 0.427032 0.271680 -0.595448 0.756063 1.829313 1.479229 1.024358 -0.776461 -0.026507 0.629608 0.593924 0.303159 0.745217 
1.173059 0.632653 0.524998 -0.729543 0.100902 0.676451 0.305930 0.932737 0.190812 1.090954 0.626014 0.241920 -0.691656 0.031067 0.721559 0.345105 0.891853 0.292404 
1.406540 1.095698 0.616051 -0.034875 -0.980754 0.192106 0.627246 0.128168 0.768203 1.393811 0.803784 0.495900 -0.217852 0.972749 0.079378 0.470805 0.033499 0.881601 
1.180704 0.883623 0.618211 0.126001 -0.491065 0.861962 -0.698469 0.573099 0.428600 1.461555 1.164564 0.824966 0.035720 -0.666448 0.744696 0.994503 0.097095 0.039191 
1.312040 1.163715 0.581899 0.503158 0.564748 0.654134 -0.781711 0.620151 0.065881 1.294124 0.992530 0.647595 0.648146 0.700959 0.297595 -0.743781 0.666558 0.049897 
2.057526 1.253262 0.857121 -0.552612 -0.528618 0.644346 0.165961 0.687841 0.706634 2.338494 1.580711 0.881957 -0.764199 -0.290148 0.576033 0.245504 0.695018 0.675780 
1.360916 0.814430 0.654916 0.581701 -0.769306 0.264183 0.771268 0.624843 0.121310 1.194983 0.617248 0.451610 0.479760 -0.799650 0.361095 -0.568072 0.030552 0.822411 
2.058239 1.667617 0.500309 0.189786 -0.902767 0.385996 0.843334 0.351205 0.406747 2.136353 1.703268 0.793633 0.152526 -0.874308 0.460782 0.827668 0.367796 0.423901 
1.161181 1.076029 0.743044 -0.907042 -0.319149 0.274624 -0.248034 0.932089 0.263989 1.246593 1.086140 0.770470 -0.690616 -0.499419 0.523098 -0.257180 0.845599 0.467782 
1.486568 1.120177 0.413461 -0.921623 -0.361055 0.142300 -0.229759 0.803135 0.549714 1.700547 1.374813 0.193868 -0.797790 -0.491316 0.349486 -0.226952 0.781714 0.580876 
3.109761 2.498787 1.703489 -0.736776 -0.125200 0.664445 -0.065626 0.991309 0.114020 3.043616 2.427509 1.578886 -0.777147 -0.039646 0.628069 0.131180 0.965885 0.223287 
